"","Sample","Seq.Id","Position","Reads..Cov.","Reads..Cov..1","Score","Skew","Freq","Annotation","Gene","Product","2.Sample","2.Seq.Id","2.Position","2.Reads..Cov.","2.Reads..Cov..1","2.Score","2.Skew","2.Freq","2.Annotation","2.Gene","2.Product","Population","Model"
"15",7,"NC_008463","""3175697=""","492 (3.380)","366 (2.810)","101/220","NT","52.4%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","226 (1.740)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 3, Pop 1, Plank, Inc","BEAD"
"16",7,"NC_008463","""4345126=""","261 (1.790)","12 (0.090)","11/226","NT","5.7%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","156 (1.170)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 3, Pop 1, Plank, Inc","BEAD"
"17",8,"NC_008463","""3175697=""","455 (3.340)","358 (2.940)","118/222","NT","53.1%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","226 (1.850)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 3, Pop 2, Plank, Inc","BEAD"
"18",8,"NC_008463","""4345126=""","216 (1.590)","14 (0.110)","13/228","NT","7.7%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","139 (1.110)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 3, Pop 2, Plank, Inc","BEAD"
"19",9,"NC_008463","""3175697=""","369 (3.180)","278 (2.690)","89/214","NT","52.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","178 (1.720)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 3, Pop 3, Plank, Inc","BEAD"
"20",9,"NC_008463","""4345126=""","215 (1.850)","8 (0.080)","6/220","NT","5.3%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","90 (0.850)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 3, Pop 3, Plank, Inc","BEAD"
"21",10,"NC_008463","""=1544091""","120 (1.090)","9 (0.120)","5/176","NT","11.5%","coding(235/1518nt)","glpK","glycerol kinase",NA,"NC_008463","""=1546221""","53 (0.680)","","","","","coding(219/1485nt)","glpK","glycerol kinase","Day 4, Pop 1, Plank, Inc","BEAD"
"22",10,"NC_008463","""=4956431""","NA (NA)","164 (1.570)+TCAGTA","3/214","NT",NA,"noncoding(748/1544nt)","PA14_RS22700","16S ribosomal RNA",NA,"NC_008463","""4956432=""","NA (NA)","","","","","noncoding(747/1544nt)","PA14_RS22700","16S ribosomal RNA","Day 4, Pop 1, Plank, Inc","BEAD"
"23",10,"NC_008463","""3175697=""","362 (3.290)","325 (3.300)","93/222","NT","56.6%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","175 (1.780)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 4, Pop 1, Plank, Inc","BEAD"
"24",10,"NC_008463","""4345126=""","176 (1.600)","20 (0.200)","15/228","NT","13.0%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","105 (1.040)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 4, Pop 1, Plank, Inc","BEAD"
"25",11,"NC_008463","""737451=""","NA (NA)","148 (1.000)","77/244","NT",NA,"noncoding(2366/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""=737471""","NA (NA)","","","","","noncoding(2386/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 4, Pop 2, Plank, Inc","BEAD"
"26",11,"NC_008463","""3175697=""","501 (3.350)","389 (2.910)","115/220","NT","54.0%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","216 (1.620)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 4, Pop 2, Plank, Inc","BEAD"
"27",11,"NC_008463","""4345126=""","261 (1.750)","29 (0.210)","19/226","NT","12.9%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","152 (1.110)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 4, Pop 2, Plank, Inc","BEAD"
"28",12,"NC_008463","""=1544054""","138 (1.110)","16 (0.140)","6/226","NT","13.4%","coding(272/1518nt)","glpK","glycerol kinase",NA,"NC_008463","""=1546258""","82 (0.730)","","","","","coding(256/1485nt)","glpK","glycerol kinase","Day 4, Pop 3, Plank, Inc","BEAD"
"29",12,"NC_008463","""=1544286""","118 (0.950)","5 (0.050)","5/184","NT","5.4%","coding(40/1518nt)","glpK","glycerol kinase",NA,"NC_008463","""=1546026""","88 (0.960)","","","","","coding(24/1485nt)","glpK","glycerol kinase","Day 4, Pop 3, Plank, Inc","BEAD"
"30",12,"NC_008463","""3175697=""","361 (2.920)","315 (2.850)","105/222","NT","55.4%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","184 (1.660)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 4, Pop 3, Plank, Inc","BEAD"
"31",12,"NC_008463","""4345126=""","224 (1.810)","21 (0.180)","18/228","NT","10.7%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","144 (1.270)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 4, Pop 3, Plank, Inc","BEAD"
"32",13,"NC_008463","""3175697=""","421 (2.820)","350 (2.620)","113/220","NT","53.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","238 (1.780)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 6, Pop 1, Plank, Inc","BEAD"
"33",13,"NC_008463","""4345126=""","290 (1.940)","16 (0.120)","14/226","NT","7.4%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","133 (0.970)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 6, Pop 1, Plank, Inc","BEAD"
"34",14,"NC_008463","""737451=""","NA (NA)","175 (1.690)","76/246","NT",NA,"noncoding(2366/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""=737471""","NA (NA)","","","","","noncoding(2386/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 6, Pop 2, Plank, Inc","BEAD"
"35",14,"NC_008463","""3175697=""","261 (2.490)","275 (2.930)","98/222","NT","60.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","128 (1.370)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 6, Pop 2, Plank, Inc","BEAD"
"36",14,"NC_008463","""4345126=""","158 (1.510)","28 (0.290)","18/228","NT","17.7%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","115 (1.190)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 6, Pop 2, Plank, Inc","BEAD"
"37",15,"NC_008463","""3175697=""","430 (3.130)","360 (2.930)","111/222","NT","55.2%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","200 (1.630)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 6, Pop 3, Plank, Inc","BEAD"
"38",15,"NC_008463","""4345126=""","223 (1.630)","22 (0.170)","16/228","NT","11.7%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","126 (1.000)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 6, Pop 3, Plank, Inc","BEAD"
"39",15,"NC_008463","""=4107682""","38 (0.280)","4 (0.030)","4/232","NT","7.9%","coding(1106/1194nt)","PA14_RS18740","MFS transporter",NA,"NC_008463","""=4107781""","58 (0.450)","","","","","coding(861/912nt)","PA14_RS18745","EamA family transporter","Day 6, Pop 3, Plank, Inc","BEAD"
"40",16,"NC_008463","""=2794116""","96 (0.760)","3 (0.030)","3/170","NT","5.3%","coding(939/1014nt)","PA14_RS13105","toluate 1,2dioxygenase electron transfer subunit",NA,"NC_008463","""=2795058""","41 (0.470)","","","","","coding(949/1023nt)","antC","anthranilate dioxygenase reductase","Day 7, Pop 1, Plank, Inc","BEAD"
"41",16,"NC_008463","""4345126=""","222 (1.760)","25 (0.220)","20/226","NT","13.2%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","125 (1.080)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 7, Pop 1, Plank, Inc","BEAD"
"42",16,"NC_008463","""3175697=""","370 (2.930)","333 (2.950)","96/220","NT","56.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","186 (1.650)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 7, Pop 1, Plank, Inc","BEAD"
"43",17,"NC_008463","""3175697=""","326 (2.530)","338 (2.930)","111/222","NT","59.2%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","174 (1.510)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 7, Pop 2, Plank, Inc","BEAD"
"44",17,"NC_008463","""4345126=""","231 (1.790)","20 (0.170)","16/228","NT","10.4%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","134 (1.130)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 7, Pop 2, Plank, Inc","BEAD"
"45",17,"NC_008463","""6313278=""","NA (NA)","3 (0.020)","3/246","NT","100%","noncoding(2386/2912nt)","PA14_RS28865","23S ribosomal RNA",NA,"NC_008463","""=6313298""","0 (0.000)","","","","","noncoding(2366/2912nt)","PA14_RS28865","23S ribosomal RNA","Day 7, Pop 2, Plank, Inc","BEAD"
"46",18,"NC_008463","""4345126=""","223 (1.580)","19 (0.150)","17/226","NT","9.5%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","158 (1.220)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 7, Pop 3, Plank, Inc","BEAD"
"47",18,"NC_008463","""3175697=""","473 (3.340)","450 (3.550)","114/220","NT","56.9%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","260 (2.050)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 7, Pop 3, Plank, Inc","BEAD"
"48",19,"NC_008463","""=736964""","NA (NA)","27 (0.190)","21/246","NT",NA,"noncoding(1879/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""736973=""","NA (NA)","","","","","noncoding(1888/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 9, Pop 1, Plank, Inc","BEAD"
"49",19,"NC_008463","""2363422=""","103 (0.720)","12 (0.080)","12/244","NT","10.6%","coding(293/1131nt)","PA14_RS11005","hypothetical protein",NA,"NC_008463","""=2559771""","100 (0.710)","","","","","coding(850/1188nt)","PA14_RS12035","type II secretion system protein","Day 9, Pop 1, Plank, Inc","BEAD"
"50",19,"NC_008463","""3175697=""","462 (3.240)","331 (2.600)","114/220","NT","50.8%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","227 (1.780)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 9, Pop 1, Plank, Inc","BEAD"
"51",19,"NC_008463","""4345126=""","246 (1.730)","11 (0.080)","11/226","NT","5.5%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","151 (1.150)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 9, Pop 1, Plank, Inc","BEAD"
"52",20,"NC_008463","""3175697=""","308 (2.620)","258 (2.460)","86/218","NT","52.1%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","199 (1.900)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 9, Pop 2, Plank, Inc","BEAD"
"53",21,"NC_008463","""3175697=""","304 (3.160)","238 (2.770)","88/220","NT","53.7%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","139 (1.620)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 9, Pop 3, Plank, Inc","BEAD"
"54",21,"NC_008463","""4345126=""","160 (1.660)","10 (0.110)","7/226","NT","7.1%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","115 (1.300)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 9, Pop 3, Plank, Inc","BEAD"
"55",22,"NC_008463","""3175697=""","416 (2.740)","369 (2.720)","108/222","NT","55.1%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","229 (1.690)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 10, Pop 1, Plank, Inc","BEAD"
"56",22,"NC_008463","""=737200""","NA (NA)","10 (0.070)","5/242","NT",NA,"noncoding(2115/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737208=""","NA (NA)","","","","","noncoding(2123/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 10, Pop 1, Plank, Inc","BEAD"
"57",22,"NC_008463","""=736964""","NA (NA)","4 (0.030)","4/248","NT",NA,"noncoding(1879/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""736973=""","NA (NA)","","","","","noncoding(1888/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 10, Pop 1, Plank, Inc","BEAD"
"58",22,"NC_008463","""=737198""","NA (NA)","94 (0.620)","45/248","NT",NA,"noncoding(2113/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737211=""","NA (NA)","","","","","noncoding(2126/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 10, Pop 1, Plank, Inc","BEAD"
"59",23,"NC_008463","""3175697=""","437 (2.420)","386 (2.390)","110/218","NT","54.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","259 (1.610)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 10, Pop 2, Plank, Inc","BEAD"
"60",24,"NC_008463","""=737187""","NA (NA)","22 (0.130)","20/246","NT",NA,"noncoding(2102/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737204=""","NA (NA)","","","","","noncoding(2119/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 10, Pop 3, Plank, Inc","BEAD"
"61",24,"NC_008463","""=737199""","NA (NA)","9 (0.050)","8/244","NT",NA,"noncoding(2114/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737205=""","NA (NA)","","","","","noncoding(2120/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 10, Pop 3, Plank, Inc","BEAD"
"62",24,"NC_008463","""3175697=""","398 (2.360)","319 (2.110)","111/220","NT","53.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","202 (1.340)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 10, Pop 3, Plank, Inc","BEAD"
"63",25,"NC_008463","""=736964""","NA (NA)","23 (0.150)","19/248","NT",NA,"noncoding(1879/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""736973=""","NA (NA)","","","","","noncoding(1888/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 12, Pop 1, Plank, Inc","BEAD"
"64",25,"NC_008463","""=737198""","NA (NA)","33 (0.220)","22/248","NT",NA,"noncoding(2113/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737211=""","NA (NA)","","","","","noncoding(2126/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 12, Pop 1, Plank, Inc","BEAD"
"65",25,"NC_008463","""3175697=""","485 (3.180)","400 (2.930)","109/222","NT","55.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","212 (1.550)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 1, Plank, Inc","BEAD"
"66",25,"NC_008463","""4345126=""","207 (1.360)","13 (0.090)","13/228","NT","6.4%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","191 (1.360)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 12, Pop 1, Plank, Inc","BEAD"
"67",26,"NC_008463","""=737249""","NA (NA)","9 (0.070)","8/248","NT",NA,"noncoding(2164/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737258=""","NA (NA)","","","","","noncoding(2173/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 12, Pop 2, Plank, Inc","BEAD"
"68",26,"NC_008463","""3175697=""","398 (2.940)","346 (2.850)","108/222","NT","56.1%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","185 (1.530)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 2, Plank, Inc","BEAD"
"69",27,"NC_008463","""=737187""","NA (NA)","14 (0.090)","13/246","NT",NA,"noncoding(2102/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""737204=""","NA (NA)","","","","","noncoding(2119/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 12, Pop 3, Plank, Inc","BEAD"
"70",27,"NC_008463","""3175697=""","474 (2.890)","370 (2.520)","104/220","NT","52.6%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","242 (1.650)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 3, Plank, Inc","BEAD"
"71",28,"NC_008463","""737401=""","NA (NA)","61 (0.440)","40/246","NT",NA,"noncoding(2316/2912nt)","PA14_RS03465","23S ribosomal RNA",NA,"NC_008463","""=737413""","NA (NA)","","","","","noncoding(2328/2912nt)","PA14_RS03465","23S ribosomal RNA","Day 12, Pop 4, Plank, Inc","BEAD"
"72",28,"NC_008463","""3175697=""","419 (2.970)","354 (2.810)","110/222","NT","54.5%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","217 (1.720)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 4, Plank, Inc","BEAD"
"73",29,"NC_008463","""3175697=""","385 (2.760)","344 (2.760)","95/220","NT","53.5%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","253 (2.030)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 5, Plank, Inc","BEAD"
"74",29,"NC_008463","""=5537061""","NA (NA)","4 (0.030)","4/246","NT",NA,"noncoding(2132/2912nt)","PA14_RS25360","23S ribosomal RNA",NA,"NC_008463","""5537087=""","NA (NA)","","","","","noncoding(2106/2912nt)","PA14_RS25360","23S ribosomal RNA","Day 12, Pop 5, Plank, Inc","BEAD"
